Marque,Modèle,Année,Kilométrage,Etat,Prix
Kia,EV6,2023,10893.0,Occasion,38999.0
BMW,I3,2020,89870.0,Occasion,15299.0
Mazda,CX-5,2018,75830.0,Occasion,19299.0
Hyundai,i30,2023,12330.0,Occasion,25999.0
Audi,A5 Sportback,2022,17160.0,Occasion,35399.0
Opel,Mokka X,2018,25117.0,Occasion,14999.0
Dacia,Logan MCV,2020,39970.0,Occasion,14199.0
Audi,Q5,2020,101834.0,Occasion,34099.0
Volvo,XC60,2022,65610.0,Occasion,36999.0
BMW,Série 3,2021,25033.0,Occasion,31099.0
Ford,KA+,2019,29867.0,Occasion,11999.0
Skoda,Octavia,2023,19754.0,Occasion,27999.0
Skoda,Fabia Combi,2018,67658.0,Occasion,13199.0
Renault,Koleos,2019,85417.0,Occasion,19999.0
Volkswagen,Tiguan Allspace,2018,91563.0,Occasion,22499.0
Skoda,Scala,2022,14920.0,Occasion,20999.0
Mazda,CX-30,2024,8039.0,Occasion,30999.0
Audi,A3 Berline,2022,58828.0,Occasion,22699.0
Volvo,V60,2020,99342.0,Occasion,21999.0
Mini,Mini countryman,2020,67211.0,Occasion,25999.0
BMW,X4,2019,54837.0,Occasion,38699.0
Volkswagen,Golf 8 SW,2021,77952.0,Occasion,28599.0
BMW,Série 2 Gran Tourer,2021,82673.0,Occasion,20999.0
Volkswagen,Golf 7 SW,2020,72145.0,Occasion,17299.0
Hyundai,Ioniq 5,2022,52000.0,Occasion,33499.0
Lexus,CT,2017,69348.0,Occasion,16799.0
BMW,Série 3 Touring,2021,36555.0,Occasion,37499.0
Volkswagen,Arteon Shooting Brake,2023,29024.0,Occasion,36999.0
Mazda,CX-3,2018,70627.0,Occasion,15999.0
Mercedes,GLC,2021,66891.0,Occasion,37999.0
Opel,Karl,2018,92780.0,Occasion,9499.0
Renault,Clio,2022,27926.0,Occasion,15999.0
Peugeot,Partner Fourgon,2022,62552.0,Occasion,16499.0
Kia,ProCeed,2024,5380.0,Occasion,28999.0
Mercedes,Classe C Break,2019,91515.0,Occasion,24999.0
Audi,A6 Avant,2020,133331.0,Occasion,26499.0
Hyundai,Santa Fe,2022,92139.0,Occasion,36999.0
Smart,FORTWO,2018,30422.0,Occasion,12299.0
Kia,Cee'd,2016,91893.0,Occasion,11999.0
Smart,Fortwo EQ,2020,31702.0,Occasion,11299.0
Mercedes,GLB,2020,84408.0,Occasion,30999.0
Ford,B-Max,2016,74009.0,Occasion,10999.0
Alfa,Romeo Giulia,2020,49621.0,Occasion,39099.0
Lexus,NX 300h,2018,115440.0,Occasion,24499.0
Jaguar,E-Pace,2019,91754.0,Occasion,21999.0
Mercedes,Classe E,2016,96738.0,Occasion,29999.0
Peugeot,208 ELECTRIQUE,2021,30277.0,Occasion,18999.0
Suzuki,Ignis,2018,45635.0,Occasion,12399.0
Renault,Talisman Estate,2022,61472.0,Occasion,21999.0
Mercedes,Classe C,2022,45209.0,Occasion,33999.0
Audi,A1,2017,22217.0,Occasion,16499.0
Volvo,XC90,2016,114375.0,Occasion,29499.0
Renault,Talisman,2017,99875.0,Occasion,12699.0
Peugeot,208,2023,5703.0,Occasion,17399.0
Citroën,C3 Aircross,2018,54929.0,Occasion,10799.0
Volkswagen,Golf 8,2023,15885.0,Occasion,37799.0
Fiat,500,2022,11467.0,Occasion,13799.0
Opel,Corsa,2023,12775.0,Occasion,15699.0
DS,DS4,2023,19240.0,Occasion,34999.0
Peugeot,508,2018,22961.0,Occasion,18999.0
Ford,Focus,2019,81050.0,Occasion,17499.0
Hyundai,i20,2018,65135.0,Occasion,11499.0
Volkswagen,Touran,2024,9000.0,Occasion,38499.0
Opel,Astra Sports Tourer,2020,45904.0,Occasion,16299.0
Peugeot,Expert Fourgon,2023,22693.0,Occasion,21999.0
Fiat,Tipo SW,2020,104073.0,Occasion,11899.0
Renault,Master Fourgon,2023,10.0,Occasion,33699.0
Opel,Movano,2022,38.0,Occasion,32099.0
Toyota,Corolla Touring Sports,2022,56775.0,Occasion,21999.0
Peugeot,308,2022,56306.0,Occasion,16999.0
Citroën,C3,2020,110773.0,Occasion,10999.0
Audi,A3 Sportback,2017,123095.0,Occasion,16999.0
Kia,Sportage,2023,45.0,Occasion,31299.0
Volkswagen,Tiguan,2019,82114.0,Occasion,20999.0
Volkswagen,T-Roc,2019,45754.0,Occasion,23499.0
Peugeot,308 SW,2020,68077.0,Occasion,13999.0
Peugeot,408,2022,35365.0,Occasion,32499.0
Audi,Q3 Sportback,2023,17516.0,Occasion,45999.0
Seat,Arona,2018,39505.0,Occasion,13499.0
Citroën,C5 X,2022,54903.0,Occasion,23499.0
Nissan,Juke,2019,54030.0,Occasion,15299.0
Skoda,KAMIQ,2023,24535.0,Occasion,23999.0
MG,MG4,2023,13581.0,Occasion,24699.0
DS,DS7,2023,13745.0,Occasion,34899.0
